Noise level:0.0
Random done in: 0:00:00.000142, ARIs: [array([0.173, 0.85 ]), array([1.   , 0.423])]
Greedy done in: 0:00:00.001343, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.116422, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000151, ARIs: [array([1., 1.]), array([1., 1.])]
Greedy done in: 0:00:00.001344, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.082044, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000233, ARIs: [array([0.118, 0.519]), array([-0.017,  0.035])]
Greedy done in: 0:00:00.001381, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.119640, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000151, ARIs: [array([0.258, 0.313]), array([1.   , 0.648])]
Greedy done in: 0:00:00.001355, ARIs: [array([0.364, 0.418]), array([1.   , 0.648])]
ILP done in: 0:00:01.006851, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000146, ARIs: [array([0.423, 0.849]), array([0.03 , 0.289])]
Greedy done in: 0:00:00.001349, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.043056, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000139, ARIs: [array([1., 1.]), array([1.   , 0.613])]
Greedy done in: 0:00:00.001380, ARIs: [array([0.184, 0.651]), array([1., 1.])]
ILP done in: 0:00:01.268161, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000142, ARIs: [array([-0.011,  0.464]), array([0.026, 0.974])]
Greedy done in: 0:00:00.001361, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.232476, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000139, ARIs: [array([1., 1.]), array([0.018, 0.441])]
Greedy done in: 0:00:00.001401, ARIs: [array([0.042, 0.278]), array([0.018, 0.441])]
ILP done in: 0:00:01.236600, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000147, ARIs: [array([0.266, 0.349]), array([1., 1.])]
Greedy done in: 0:00:00.001379, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.097197, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000145, ARIs: [array([-0.005,  0.766]), array([0.693, 0.971])]
Greedy done in: 0:00:00.001372, ARIs: [array([-0.005,  0.621]), array([0.44 , 0.475])]
ILP done in: 0:00:01.166873, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000142, ARIs: [array([0.288, 0.722]), array([-0.039, -0.026])]
Greedy done in: 0:00:00.001372, ARIs: [array([0.148, 0.165]), array([1., 1.])]
ILP done in: 0:00:01.202336, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000140, ARIs: [array([0.732, 0.959]), array([-0.043,  0.979])]
Greedy done in: 0:00:00.001381, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.064237, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000148, ARIs: [array([1.   , 0.646]), array([-0.006,  0.431])]
Greedy done in: 0:00:00.001355, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.235869, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000140, ARIs: [array([0.025, 0.349]), array([0.008, 0.085])]
Greedy done in: 0:00:00.001378, ARIs: [array([0.025, 0.349]), array([1.   , 0.174])]
ILP done in: 0:00:01.168570, ARIs: [array([0.025, 0.349]), array([1.   , 0.174])]

Random done in: 0:00:00.000157, ARIs: [array([0.296, 0.533]), array([0.584, 0.684])]
Greedy done in: 0:00:00.001410, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.128683, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000132, ARIs: [array([1.  , 0.71]), array([1.   , 0.206])]
Greedy done in: 0:00:00.001322, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.114574, ARIs: [array([0.419, 0.681]), array([1., 1.])]

Random done in: 0:00:00.000138, ARIs: [array([-0.002,  0.504]), array([1., 1.])]
Greedy done in: 0:00:00.001364, ARIs: [array([-0.002,  0.297]), array([0.502, 0.739])]
ILP done in: 0:00:01.073999, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000163, ARIs: [array([1., 1.]), array([1. , 0.4])]
Greedy done in: 0:00:00.001382, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.114486, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000149, ARIs: [array([0.394, 0.862]), array([1., 1.])]
Greedy done in: 0:00:00.001387, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.138433, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000153, ARIs: [array([-0.008,  0.451]), array([1.  , 0.86])]
Greedy done in: 0:00:00.001359, ARIs: [array([1., 1.]), array([0.015, 0.217])]
ILP done in: 0:00:01.346797, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000149, ARIs: [array([0.045, 0.542]), array([1., 1.])]
Greedy done in: 0:00:00.001401, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.182399, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000235, ARIs: [array([0.547, 0.715]), array([-0.005,  0.207])]
Greedy done in: 0:00:00.001426, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.146621, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000156, ARIs: [array([0.071, 0.51 ]), array([0.082, 0.572])]
Greedy done in: 0:00:00.001376, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.144973, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000170, ARIs: [array([1., 1.]), array([1.   , 0.382])]
Greedy done in: 0:00:00.001447, ARIs: [array([0.125, 0.627]), array([-0.027,  0.051])]
ILP done in: 0:00:01.302214, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000156, ARIs: [array([-0.001,  0.941]), array([-0.082,  0.62 ])]
Greedy done in: 0:00:00.001359, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.041230, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000146, ARIs: [array([0.004, 0.81 ]), array([0.028, 0.562])]
Greedy done in: 0:00:00.001437, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.216521, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000149, ARIs: [array([1.   , 0.702]), array([0.002, 0.364])]
Greedy done in: 0:00:00.001421, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.171700, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000161, ARIs: [array([0.56 , 0.743]), array([1., 1.])]
Greedy done in: 0:00:00.001385, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.091133, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000148, ARIs: [array([-0.076,  0.577]), array([-0.019,  0.362])]
Greedy done in: 0:00:00.001373, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.133406, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000147, ARIs: [array([1.   , 0.585]), array([0.113, 0.818])]
Greedy done in: 0:00:00.001366, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.078238, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000333, ARIs: [array([1.   , 0.491]), array([0.37 , 0.948])]
Greedy done in: 0:00:00.001348, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.144458, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000151, ARIs: [array([0.593, 0.943]), array([0.012, 0.791])]
Greedy done in: 0:00:00.001366, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:00.891962, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000139, ARIs: [array([1.   , 0.523]), array([1.   , 0.624])]
Greedy done in: 0:00:00.001327, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.151624, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000136, ARIs: [array([1., 1.]), array([0.143, 0.308])]
Greedy done in: 0:00:00.001346, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.018998, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000129, ARIs: [array([-0.055,  0.957]), array([0.067, 0.344])]
Greedy done in: 0:00:00.001317, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.079509, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000128, ARIs: [array([0.043, 0.741]), array([0.048, 0.51 ])]
Greedy done in: 0:00:00.001337, ARIs: [array([1.   , 0.468]), array([1., 1.])]
ILP done in: 0:00:01.175682, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000157, ARIs: [array([0.019, 0.844]), array([1.   , 0.763])]
Greedy done in: 0:00:00.001396, ARIs: [array([1.   , 0.614]), array([0.041, 0.138])]
ILP done in: 0:00:01.167492, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000150, ARIs: [array([0.446, 0.81 ]), array([1., 1.])]
Greedy done in: 0:00:00.001349, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.170968, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000149, ARIs: [array([1., 1.]), array([-0.009,  0.422])]
Greedy done in: 0:00:00.001362, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.102361, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000155, ARIs: [array([0.626, 0.732]), array([0.123, 0.9  ])]
Greedy done in: 0:00:00.001349, ARIs: [array([0.068, 0.104]), array([0.568, 0.876])]
ILP done in: 0:00:01.092650, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000149, ARIs: [array([1.   , 0.526]), array([0.236, 0.442])]
Greedy done in: 0:00:00.001337, ARIs: [array([0.247, 0.757]), array([0.236, 0.442])]
ILP done in: 0:00:01.187401, ARIs: [array([0.247, 0.757]), array([0.236, 0.442])]

Random done in: 0:00:00.000150, ARIs: [array([-0.066,  0.403]), array([1.   , 0.612])]
Greedy done in: 0:00:00.001412, ARIs: [array([0.563, 0.892]), array([0.048, 0.475])]
ILP done in: 0:00:01.222253, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000143, ARIs: [array([1.   , 0.625]), array([0.039, 0.676])]
Greedy done in: 0:00:00.001376, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.213571, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000148, ARIs: [array([0.199, 0.412]), array([1., 1.])]
Greedy done in: 0:00:00.001372, ARIs: [array([0.199, 0.412]), array([0.293, 0.84 ])]
ILP done in: 0:00:01.289596, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000150, ARIs: [array([1., 1.]), array([0.006, 0.957])]
Greedy done in: 0:00:00.001369, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.138184, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000182, ARIs: [array([0.755, 0.91 ]), array([0.015, 0.049])]
Greedy done in: 0:00:00.001454, ARIs: [array([0.01 , 0.156]), array([-0.013,  0.019])]
ILP done in: 0:00:01.177322, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000148, ARIs: [array([-0.004,  0.943]), array([1., 1.])]
Greedy done in: 0:00:00.001442, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.187383, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000161, ARIs: [array([0.08, 0.44]), array([0.632, 0.893])]
Greedy done in: 0:00:00.001380, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.188014, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000144, ARIs: [array([1., 1.]), array([0.143, 0.318])]
Greedy done in: 0:00:00.001392, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.222442, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000155, ARIs: [array([1., 1.]), array([1.   , 0.521])]
Greedy done in: 0:00:00.001366, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.194909, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000142, ARIs: [array([0.033, 0.426]), array([0.017, 0.125])]
Greedy done in: 0:00:00.001344, ARIs: [array([0.471, 0.873]), array([0.017, 0.125])]
ILP done in: 0:00:01.067827, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000162, ARIs: [array([0.   , 0.583]), array([1., 1.])]
Greedy done in: 0:00:00.001394, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.173065, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000157, ARIs: [array([-0.009,  0.801]), array([0.707, 0.782])]
Greedy done in: 0:00:00.001342, ARIs: [array([-0.009,  0.905]), array([0.006, 0.05 ])]
ILP done in: 0:00:01.114382, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000178, ARIs: [array([1.   , 0.821]), array([1.   , 0.623])]
Greedy done in: 0:00:00.001385, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.057581, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000153, ARIs: [array([0.01 , 0.847]), array([0.305, 0.816])]
Greedy done in: 0:00:00.001361, ARIs: [array([-0.003,  0.81 ]), array([0.117, 0.666])]
ILP done in: 0:00:01.129525, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000148, ARIs: [array([0.104, 0.339]), array([1., 1.])]
Greedy done in: 0:00:00.001365, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.316307, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000165, ARIs: [array([1., 1.]), array([-0.005,  0.243])]
Greedy done in: 0:00:00.001383, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.102588, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000149, ARIs: [array([0.278, 0.698]), array([0.165, 0.295])]
Greedy done in: 0:00:00.001387, ARIs: [array([-0.03 ,  0.432]), array([0.014, 0.382])]
ILP done in: 0:00:01.139224, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000150, ARIs: [array([1.   , 0.477]), array([-0.003,  0.783])]
Greedy done in: 0:00:00.001372, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.192345, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000146, ARIs: [array([0.007, 0.093]), array([-0.005,  0.245])]
Greedy done in: 0:00:00.001397, ARIs: [array([1., 1.]), array([1., 1.])]
ILP done in: 0:00:01.174736, ARIs: [array([1., 1.]), array([1., 1.])]

Random done in: 0:00:00.000152, ARIs: [array([-0.005,  0.592]), array([1., 1.])]
